,title,link,description,bloggername,bloggerlink,postdate
0,달러스왑 <b>핀테크</b>만으로 800% 수익 난다,https://blog.naver.com/balmin/223520733366,달러스왑 <b>핀테크</b>만으로 800% 수익 난다! 저자 손대식 출판 지식과감성 발매 2024.04.15. #달러스왑<b>핀테크</b>만으로800%수익난다 #손대식 #지식과감성 #달러스왑 #<b>핀테크</b> #재테크 #투자 #부자 #투자법 #<b>핀테크</b>투자법... ,위편삼절의 독서공간,blog.naver.com/balmin,20240721
1,아임인 온라인 계모임 <b>핀테크</b> 플랫폼 feat. 스테이지 채권추심... ,https://blog.naver.com/disneyworld777/223503738468,계모임 #<b>핀테크</b> #플랫폼 #프로모션 #코드 #프로모션코드 #아임인프로모션 #아임인프로모션코드 #스테이지 #채권추심 #보호장치 안녕하세요. 라호야 입니다. 아임인 은 온라인 계모임 <b>핀테크</b> 플랫폼 폼입니다.... ,경제적자유를찾아서,blog.naver.com/disneyworld777,20240706
2,"손대식, &lt;달러스왑 <b>핀테크</b>만으로 800% 수익 난다!&gt;",https://blog.naver.com/writeread/223519959546,"달러스왑 <b>핀테크</b>만으로 800% 수익 난다! 저자 손대식 출판 지식과감성 발매 2024.04.15. 순환투자는... p.189 손대식, &lt;달러스왑 <b>핀테크</b>만으로 800% 수익 난다!&gt; 中 +) 이 책은 투자의 순환 법칙에 대해 이야기하고 있다.... ",Over the Rainbow,blog.naver.com/writeread,20240721
3,달러스왑 <b>핀테크</b>만으로 800% 수익 난다 북 리뷰!,https://blog.naver.com/catsman/223510449282,달러스왑 <b>핀테크</b>만으로 800% 수익 난다! 저자 손대식 출판 지식과감성 발매 2024.04.15. 달러스왑 <b>핀테크</b>만으로 800% 수익 난다 5대 자산 시장 순환투자 공식 펜타곤 투자법. 요즘같이 재테크 열풍이 전국을 휩싸인... ,냥이를 말해봐,blog.naver.com/catsman,20240712
4,"프로그램 공고 및 사업계획서 양식 (AI, <b>핀테크</b> 지원사업)",https://blog.naver.com/772ryo/223457295788,"AI, <b>핀테크</b> 등 ICT 분야의 글로벌 진출계획을 가지고 있는 스타트업 창업기업을 위한 액셀러레이팅... 08) 기준 7년 이내 초기 창업기업으로 AI, <b>핀테크</b> 등 ICT 분야의 글로벌 진출 계획을 갖고 있는 법인사업자... ",이명신 IR피칭 멘토,blog.naver.com/772ryo,20240524
5,쿠팡 정산 올라 <b>핀테크</b> 활용 사업자 선정산하는 방법,https://blog.naver.com/moonkra7/223513479061,"올라 <b>핀테크</b>란? 올라 <b>핀테크</b>는 2020년 9월 런칭해서 하나금융그룹 MOU 기업으로 현재 2024년 6월 기준 가입자가 약 2만명, 누적 2조원의 선정산금을 지급하였습니다. 또한, 금융위 주최의 <b>핀테크</b> 대회에서 우승... ",달그래의 쏠쏠한 재테크,blog.naver.com/moonkra7,20240715
6,투자의 새로운 시각 '달러스왑 <b>핀테크</b>만으로 800% 수익 난다... ,https://blog.naver.com/hyejj1226/223520593837,[도서서평] 투자의 새로운 시각 '달러스왑 <b>핀테크</b>만으로 800% 수익 난다' 펜타곤 투자법이라는 걸 처음 알게 되었다. <b>핀테크</b>라는 건 투자와 재테크를 하면 종종 듣게되는 이야기인데 내가 하는 투자방식과는... ,꿈쟁이의 감성 스타일링,blog.naver.com/hyejj1226,20240721
7,[도서] 달러스왑 <b>핀테크</b>만으로 800%수익난다!,https://blog.naver.com/chekini/223517557241,[도서명] 달러스왑 <b>핀테크</b>만으로 800% 수익난다! 부제 (일본의 눈물) 주식이나 아파트에 장기투자하면... 달러스왑 <b>핀테크</b>만으로 800% 수익 난다! 저자 손대식 출판 지식과감성 발매 2024.04.15. 달러스왑... ,asdf의 홈로그,blog.naver.com/chekini,20240718
8,[기자단 뉴스] 인기 <b>핀테크</b> 앱 분석 - &lt;공공 업무 관련 앱&gt;,https://blog.naver.com/koreafintech/223485547206,인기 <b>핀테크</b> 앱 분석 &lt;공공 업무 관련 앱&gt; 12기 대학생 기자단 류제형 안녕하세요 한국<b>핀테크</b>지원센터 대학생 12기 기자단 류제형입니다. 지난 기사에서는 소비 생활을 위주로 <b>핀테크</b>의 기능을... ,한국핀테크지원센터,blog.naver.com/koreafintech,20240620
9,"KG 아이티뱅크, 국비지원을 통해 <b>핀테크</b> 개발자 되자!",https://blog.naver.com/gkea04/223514643184,"기반 <b>핀테크</b> 서비스 개발자 양성 과정으로, 8월 6일에 개강하는 수업이 있습니다. 고객 정보 통합, 상품 개발, 수수료 통합 관리 등에 대한 금융권 sw 개발을 위한 개발 능력을 한 번에 학습하여 <b>핀테크</b>... ",KG 에듀원 교육 상담님의 블로그,blog.naver.com/gkea04,20240716
0,소셜<b>핀테크</b> 앱 '아임인'으로 자산만들기 함께 해보아요.,https://blog.naver.com/sosin279/223506534357,소셜<b>핀테크</b> 앱 '아임인'으로 자산만들기 함께 해보아요. 직장인들의 대부분의 고민. 현금 자산을 어떻게... 여러가지 방법 중 하나인 소셜<b>핀테크</b>에 대해서 소개를 해보겠습니다. 바로 소셜<b>핀테크</b> 앱 '아임인... ,자유자 카이사르,blog.naver.com/sosin279,20240709
1,"금융과 기술의 결합으로 태어난 혁신적 편리함, <b>핀테크</b> 서비스",https://blog.naver.com/tmaxhq/223402978063,"출처 :Freepik 이러한 모바일 간편결제 서비스는 '<b>핀테크</b>(FinTech)'에 속한다고 할 수 있습니다. 오늘은, 이 <b>핀테크</b>에 대한 이야기를 간단히 말씀드려볼까 합니다. <b>핀테크</b>란? <b>핀테크</b>란 금융(finance)과 기술... ",티맥스 공식 블로그,blog.naver.com/tmaxhq,20240402
2,금융 서비스 <b>핀테크</b> 산업 보안 인증 솔루션 센스톤 OTAC,https://blog.naver.com/hypoid613/223353808371,이를 우리는 <b>핀테크</b>라고 정의하곤 합니다. Finance + Technology의 합성어로 필자가 처음 사회생활을 시작했던 2015년 당시엔 <b>핀테크</b>라는 단어가 각광받고 센세이셔널한 산업이었는데 이제는 일상생활 속에... ,동동이네 재미난 다락방,blog.naver.com/hypoid613,20240215
3,<b>핀테크</b> 뜻 유래 기업 사례,https://blog.naver.com/toresi/223471507785,"<b>핀테크</b> 하루 1분 금융경제용어 안녕하세요. ^^ 오늘의 경제용어입니다. <b>핀테크</b> 뜻은 무엇인가? <b>핀테크</b>(FinTech) 금융(Finance)과 기술(Technology)의 합성어로, 금융 서비스를 기술적으로 혁신하여 융합하는 것을... ",은행원쀼에게 금융 묻고 더블로,blog.naver.com/toresi,20240607
4,(Grab)의 혁신과정 | 2024 한경협 싱가포르 <b>핀테크</b> 박람회 연수단,https://blog.naver.com/iloveimier/223485445140,"안녕하세요 [2024 한경협 싱가포르 <b>핀테크</b> 박람회 연수단] 운영 사무국입니다. 이번 포스팅에서는 동남아시아에서 널리 사용되는 슈퍼앱 그랩(Grab)의 혁신 과정과, [2024 한경협 싱가포르 <b>핀테크</b> 박람회... ",한경협국제경영원(IMI) 블로그,blog.naver.com/iloveimier,20240620
5,"서울시, <b>핀테크</b>, 가계대출, 신한은행, 대출 금리 인상... ",https://blog.naver.com/angeldia/223521411021,"이끌 <b>핀테크</b> 스타트업 6곳 선정 발표 2024-07-22 13:44:00 SUMMARY : 서울시와 신한은행, 신한카드... INSIGHT : 이 기사는 서울시와 신한금융그룹이 협업하여 <b>핀테크</b> 스타트업을 육성하고 금융 혁신을 촉진하는... ",Fin. cube.,blog.naver.com/angeldia,20240722
6,"서울시, <b>핀테크</b> 전문가 양성에 교육비 전액 지원…디지털금융... ",https://blog.naver.com/economyseoul/223460905936,#<b>핀테크</b> #서울<b>핀테크</b>아카데미 #머신러닝 #빅데이터 #디지털금융 <b>핀테크</b> 분야 인력 양성을 위한 서울<b>핀테크</b>아카데미 10기 교육생을 모집한다고 합니다  선발일정  ▲ 공고 및 접수기간 2024.5.29.(수) 09:00... ,서코노미,blog.naver.com/economyseoul,20240529
7,"선문대, 한국<b>핀테크</b>연합회와 베타 플랫폼 전문가 양성을 위한... ",https://blog.naver.com/sunmoonpr/223513197403,"한국<b>핀테크</b>연합회, 유큐브와 Hyper Go·ABC 메타버스 플랫폼 기반의 전략 자산 인재 양성 및 취·창업... 한국<b>핀테크</b>연합회, 유큐브 외 10개 AI·SW 업체는 10일 선문대에서 콘퍼런스와 협약식을 열고 K... ",선문대학교,blog.naver.com/sunmoonpr,20240715
8,<b>핀테크</b> 기업 종류 뜻 및 서비스와 관련 용어,https://blog.naver.com/possiblehoya/223387198263,"이번 포스팅에서는 우리나라에서 카카오페이, 네이버페이 등으로 유명한 <b>핀테크</b> 기업 종류와 뜻 그리고 관련 서비스와 용어 등에 대해 정리해 보도록 하겠습니다! <b>핀테크</b> 뜻 무엇일까?! <b>핀테크</b>(FinTech)는... ",커피 이코노미스트,blog.naver.com/possiblehoya,20240318
9,"<b>핀테크</b> 관련주 카카오페이 주가 전망, -90% 하락ㄷㄷ",https://blog.naver.com/hoduraki/223519127433,유망한 <b>핀테크</b> 기업이지만 주가는 왜 그럴까 카카오페이 다른 곳에 밀리고 있다 카카오페이는 '카카오톡'을 기반을 하여 사용자를 가장 잘 모을 수 있는 <b>핀테크</b>죠 특히 카톡에서 선물하기를 결제할 때... ,짭식이의 스마트 일상을 그리며..,blog.naver.com/hoduraki,20240720
0,<b>핀테크</b>의 허상과 진실: 은행의 진정한 힘을 알아보자,https://blog.naver.com/ktnbone/223478877973,"<b>핀테크</b>의 허상과 진실: 은행의 진정한 힘을 알아보자 서론: <b>핀테크</b> 혁신의 유혹과 실체 <b>핀테크</b>의 등장으로 금융 혁신의 기치 아래, 은행의 다양한 기능을 분할하여 더 나은 서비스를 제공할 수 있다는 주장이... ",머니 광클,blog.naver.com/ktnbone,20240614
1,[기자단 뉴스] 새로운 <b>핀테크</b>를 제안합니다!,https://blog.naver.com/koreafintech/223514867893,"새로운 <b>핀테크</b>를 제안합니다! 12기 대학생 기자단 이유진 아침에 일어나 스마트폰으로 주식 시장을 확인하고 점심값을 모바일 뱅킹으로 송금하는 등, 이제 <b>핀테크</b>는 우리의 일상 속에 당연한 듯 자리 잡고... ",한국핀테크지원센터,blog.naver.com/koreafintech,20240716
2,[보험사 경쟁자] <b>핀테크</b>에서 빅테크로 성장한 토스의... ,https://blog.naver.com/seer247/223502165025,"지난 글에서는 토스/뱅크샐러드(<b>핀테크</b>/테크핀)에 대해 말씀드렸는데요, 이번 글에서는 <b>핀테크</b>에서 빅테크로 성장한 토스의 법인보험대리점(GA), 토스인슈어런스에 대해 말씀드리고자 합니다. 토스... ",HR 석사의 비즈니스·경제 이야기,blog.naver.com/seer247,20240707
3,"특허등록절차, 어플 시스템 <b>핀테크</b> 등 확실한 보호 TIP",https://blog.naver.com/woocat0204/223448230394,"표제에서 말씀드린 것과 같이 어플, 시스템, <b>핀테크</b> 기술을 확실하게 보호하고 싶다면 어떻게 해야... 어플 시스템 <b>핀테크</b> 기술은 특허권으로 - 요즘 뜨는 기술에 대한 독점권을 확보하고 싶을 때 - 이노비즈... ",[테헤란 특허 비즈니스 센터],blog.naver.com/woocat0204,20240516
4,"어린이경제교실, <b>핀테크</b>란 무엇인가요?",https://blog.naver.com/buzyrun365/223448564319,"어린이경제교실, <b>핀테크</b>란 무엇인가요? 안녕하세요! 청소년 용돈관리 어플 부지런입니다.^^ 과거에는... <b>핀테크</b>(Fintech)? 우리가 사용하는 간편송금이나 오픈뱅킹 등을 <b>핀테크</b>라고 합니다. <b>핀테크</b>란 금융(Finance)... ","부지런한 아이들의 금융 첫걸음, 부지런(BuzyRun)",blog.naver.com/buzyrun365,20240516
5,<b>핀테크</b> 시대 스마트팜의 진화,https://blog.naver.com/jook19931/223520936075,<b>핀테크</b> 시대 스마트팜의 진화 농업 분야에서도 디지털 혁명의 바람이 불고 있습니다. <b>핀테크</b>(Fintech) 시대에 스마트팜은 농업 혁명의 시작을 알리고 있습니다. 스마트팜은 기존의 농업 방식을 혁신하여 생산성을... ,관심 한 조각,blog.naver.com/jook19931,20240722
6,[<b>핀테크</b> 용어사전] #토큰화 (Tokenization),https://blog.naver.com/konagroup/223513269523,IT기업이 알려주는 <b>핀테크</b> 용어 코나아이와 함께 똑똑해져요! 24년 7월 3주 차 이번 주에 소개할 <b>핀테크</b> 용어는 바로! ‘토큰화 (Tokenization)’ 입니다. 토큰화(Tokenization)는 물리적 또는 디지털 자산을 블록체인... ,코나아이 공식 블로그,blog.naver.com/konagroup,20240715
